,Name,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price
221,Honda Amaze VX,2014,64000,Diesel,Second,350000
222,Maruti Wagon R,2004,61000,Petrol,Second,125000
223,Mahindra Verito 1.5,2013,107000,Diesel,First,370000
224,Mercedes-Benz New C-Class,2018,29161,Diesel,First,3940999
225,Maruti Wagon R,2013,32000,Petrol,First,265000
226,Nissan Terrano XV,2015,46173,Diesel,Second,892000
227,Maruti Swift VDI,2013,47000,Diesel,First,409999
228,Mini Cooper Convertible,2017,26327,Petrol,First,3567000
229,Ford Figo Diesel,2015,70436,Diesel,First,360000
230,Tata Indica V2,2007,200000,Diesel,Second,85000
231,Chevrolet Beat LT,2016,60813,Petrol,Second,332000
232,Volkswagen Polo Diesel,2012,45000,Diesel,First,360000
233,Maruti Swift ZDi,2016,64000,Diesel,First,680000
234,Ford Figo Diesel,2012,41284,Diesel,First,250000
235,Toyota Innova Crysta,2019,14165,Diesel,First,1964000
236,Hyundai Santa Fe,2011,67000,Diesel,Second,700000
237,Honda City i-VTEC,2011,32572,Petrol,First,387000
238,Hyundai i20 1.2,2018,14960,Petrol,First,627000
239,Mercedes-Benz New C-Class,2015,55980,Diesel,First,1812000
240,Chevrolet Beat Diesel,2013,74000,Diesel,First,265000
241,Hyundai i20 Sportz,2015,56847,Diesel,First,720000
242,Toyota Innova 2.5,2015,121374,Diesel,First,1430000
243,Maruti Ertiga VDI,2013,52000,Diesel,First,690000
244,Toyota Innova 2.5,2014,118000,Diesel,First,1075000
245,Hyundai Santro Xing,2007,72000,Petrol,Third,95000
246,Honda City i,2016,33915,Petrol,First,809000
247,BMW X1 sDrive20d,2014,82002,Diesel,First,1850000
248,Hyundai Grand i10,2017,33000,Diesel,First,475000
249,Maruti Ciaz 1.3,2016,34000,Diesel,First,844999
250,Skoda Rapid Leisure,2012,55000,Diesel,First,350000
251,Hyundai Accent CRDi,2006,160538,Diesel,First,180000
252,Volkswagen Polo GT,2014,60000,Diesel,Second,370000
253,Honda Jazz 1.2,2017,49575,Petrol,First,717000
254,Hyundai i10 Era,2010,83000,Petrol,First,175000
255,Hyundai Tucson 2.0,2018,51346,Diesel,First,2199000
256,Toyota Innova Crysta,2017,43000,Diesel,First,1864999
257,Maruti Omni MPI,2011,35000,Petrol,Third,185000
258,Maruti Swift VXI,2017,27872,Petrol,Second,595000
259,Hyundai Grand i10,2014,16514,Petrol,First,375000
260,Maruti Swift VDI,2012,120000,Diesel,First,375000
261,Hyundai Verna CRDi,2008,143275,Diesel,First,260000
262,Hyundai Santro Xing,2006,99000,Petrol,First,175000
263,Hyundai i20 1.2,2010,52000,Petrol,First,280000
264,Mercedes-Benz New C-Class,2014,57000,Diesel,Second,1800000
265,Maruti Ritz ZDi,2014,88500,Diesel,First,434999
266,Hyundai Creta 1.6,2016,28000,Diesel,First,1375000
267,Maruti A-Star Vxi,2010,67000,Petrol,First,200000
268,Renault Duster 110PS,2016,26000,Diesel,First,1000000
269,Fiat Grande Punto,2010,120000,Diesel,First,165000
270,BMW X3 xDrive30d,2017,51982,Diesel,First,4577000
271,Hyundai i10 Sportz,2010,36000,Petrol,Second,325000
272,Toyota Innova 2.5,2016,47000,Diesel,First,1280000
273,Maruti Zen VXI,2002,60000,Petrol,Third,55000
274,Maruti Swift VDI,2018,31025,Diesel,First,715000
275,Mahindra Scorpio VLX,2013,105000,Diesel,Second,700000
276,Tata Zest Quadrajet,2017,121900,Diesel,First,375000
277,Ford EcoSport 1.0,2017,22695,Petrol,First,850000
278,Maruti Swift Dzire,2012,73000,Diesel,First,434999
279,Maruti Alto 800,2016,32227,Petrol,First,326000
280,Honda City 1.5,2011,55000,Petrol,First,421000
281,Skoda Laura 1.9,2009,48000,Diesel,Second,295000
282,Hyundai Verna 1.6,2012,54308,Petrol,First,428000
283,Honda City 1.5,2009,78442,Petrol,First,357000
284,Hyundai i20 Magna,2013,46000,Diesel,First,311000
285,Hyundai i20 Sportz,2014,45051,Petrol,First,596000
286,Volkswagen Vento Diesel,2011,69000,Diesel,First,470000
287,Honda City i,2014,49000,Petrol,First,690000
288,Tata Zest Quadrajet,2018,45000,Diesel,First,525000
289,BMW 5 Series,2015,64000,Diesel,First,2800000
290,Maruti Wagon R,2009,60000,Petrol,First,135000
291,Honda Jazz VX,2015,62178,Petrol,First,484999
292,Volkswagen Jetta 2007-2011,2012,58006,Diesel,First,670000
293,Hyundai i10 Magna,2010,74000,Petrol,First,310000
294,Mercedes-Benz New C-Class,2015,77771,Diesel,First,1864000
295,Hyundai i10 Magna,2012,45275,Petrol,First,280000
296,Toyota Innova Crysta,2016,48000,Diesel,First,2025000
297,Audi A6 2011-2015,2015,31652,Diesel,First,2678000
298,Toyota Innova 2.5,2010,109000,Diesel,Second,826000
299,Volkswagen Polo Petrol,2015,31978,Petrol,First,389000
300,Maruti Alto K10,2011,70000,Petrol,First,210000
301,Honda City i-VTEC,2017,15000,Petrol,First,1269000
302,Tata Indigo LX,2013,59138,Diesel,First,258000
303,Audi A6 2011-2015,2014,61726,Diesel,First,2077000
304,Mercedes-Benz GLA Class,2015,48000,Diesel,First,2026000
305,Hyundai Santro Xing,2006,58000,Petrol,Second,150000
306,Maruti Swift VDI,2011,60020,Diesel,First,250000
307,Maruti Celerio VXI,2014,77815,Petrol,First,425000
308,Mercedes-Benz GLE 250d,2017,29000,Diesel,First,5700000
309,Land Rover Range,2017,44000,Diesel,First,4400000
310,Volkswagen Vento Diesel,2011,108626,Diesel,First,365000
311,Maruti Omni 8,2012,71791,Petrol,First,204999
312,Honda Brio 1.2,2012,91931,Petrol,First,313000
313,Tata Sumo Delux,2000,158000,Diesel,Second,150000
314,Tata Indica Vista,2012,91183,Diesel,First,285000
315,Maruti Wagon R,2012,65000,Petrol,First,265000
316,Mahindra XUV500 W8,2015,88428,Diesel,First,1060000
317,Tata Indigo LS,2008,138000,Diesel,Second,125000
318,Maruti Ertiga Paseo,2018,18000,Petrol,First,825000
319,Honda Accord 2.4,2011,60000,Petrol,First,445000
320,Maruti Swift Dzire,2012,48000,Diesel,First,370000
321,Ford Fiesta EXi,2009,160000,Diesel,First,280000
322,Honda City ZX,2008,40000,Petrol,First,180000
323,Audi A6 2011-2015,2014,51495,Diesel,First,2195000
324,BMW 6 Series,2011,30000,Diesel,First,4900000
325,Maruti Zen Estilo,2008,42496,CNG,First,140000
326,Hyundai i20 1.4,2012,83000,Diesel,First,550000
327,Hyundai i10 Sportz,2009,37000,Petrol,Third,295000
328,Honda Jazz 1.2,2016,28503,Petrol,First,686000
329,Maruti Swift VDI,2015,76496,Diesel,First,615000
330,Hyundai i20 Asta,2011,79152,Petrol,Second,330000
331,Volkswagen Polo Petrol,2011,32000,Petrol,First,254999
332,Maruti Alto LXi,2009,35000,Petrol,First,150000
333,Toyota Corolla H4,2004,105000,Petrol,Second,250000
334,Maruti Alto LXi,2006,56000,Petrol,Second,140000
335,Tata Manza ELAN,2012,73000,Diesel,First,340000
336,Maruti Alto LXi,2012,38000,Petrol,First,225000
337,Skoda Octavia Ambition,2013,775000,Diesel,First,750000
338,Toyota Corolla H4,2008,80000,Petrol,First,280000
339,Hyundai i20 Asta,2016,24973,Petrol,First,766000
340,Maruti Vitara Brezza,2016,45000,Diesel,First,715000
341,Honda City 1.5,2010,87430,Petrol,First,350000
342,Tata Indica Vista,2014,133944,Diesel,Second,350000
343,Honda Amaze S,2013,57000,Diesel,First,345000
344,Hyundai EON D,2016,27904,Petrol,First,355000
345,BMW 3 Series,2015,30717,Diesel,Second,2599000
346,Hyundai Verna 1.6,2012,80000,Diesel,First,525000
347,Tata Manza Club,2013,47304,Diesel,First,290000
348,Skoda Octavia RS,2005,100000,Petrol,First,204999
349,Maruti Alto K10,2017,30000,Petrol,First,375000
350,Ford Ecosport 1.5,2014,68000,Diesel,First,675000
351,Chevrolet Spark 1.0,2011,21000,Petrol,Second,95000
352,Jaguar XF 2.0,2017,21000,Diesel,First,5200000
353,Honda CR-V RVi,2007,119000,Petrol,Third,391000
354,Skoda Superb L&K,2019,13747,Petrol,First,2730000
355,Hyundai i10 Magna,2009,620000,Petrol,First,270000
356,Maruti Swift LDI,2013,70000,Diesel,First,350000
357,Maruti Swift Dzire,2016,18000,Petrol,First,620000
358,Nissan Micra Diesel,2011,83000,Diesel,First,275000
359,Maruti Swift Dzire,2015,130000,Diesel,First,325000
360,Ford Fiesta Classic,2012,63400,Diesel,First,325000
361,Maruti Zen LX,2003,65000,Petrol,First,65000
362,Mini Clubman Cooper,2017,8350,Petrol,First,3500000
363,Toyota Etios GD,2014,45000,Diesel,First,325000
364,Maruti Alto 800,2018,26200,Petrol,First,290000
365,Maruti Alto VXi,2011,11000,Petrol,Third,290000
366,BMW X5 3.0d,2009,90000,Diesel,Second,1775000
367,Nissan Teana XV,2015,74000,Petrol,Second,825000
368,Hyundai Grand i10,2015,37081,Petrol,First,577000
369,Maruti Vitara Brezza,2017,39000,Diesel,First,949000
370,Audi Q7 3.0,2008,99000,Diesel,Third,1295000
371,Mercedes-Benz GLA Class,2015,38000,Diesel,First,2000000
372,Maruti 800 AC,2007,72000,Petrol,Third,100000
373,Renault Duster 85PS,2015,93000,Diesel,Second,710000
374,Toyota Corolla Altis,2017,5900,Diesel,First,1650000
375,Mercedes-Benz New C-Class,2014,25000,Diesel,First,2600000
376,Maruti Ritz VDi,2010,68000,Diesel,Second,320000
377,Honda BRV i-VTEC,2017,35676,Petrol,First,948000
378,Hyundai Xcent 1.1,2015,74310,Diesel,First,400000
379,Mercedes-Benz E-Class 2009-2013,2014,59364,Diesel,First,2650000
380,Mercedes-Benz B Class,2014,41380,Petrol,Second,1177000
381,Mercedes-Benz E-Class 2015-2017,2017,33900,Diesel,First,3700000
382,Honda City i,2016,28000,Petrol,First,875000
383,Hyundai Santro Xing,2007,50958,Petrol,First,195000
384,Honda City 1.5,2011,93982,Petrol,First,375000
385,Hyundai Verna Transform,2010,95000,Petrol,First,250000
386,Jaguar XE Portfolio,2017,9000,Petrol,First,3450000
387,Honda Amaze S,2015,52516,Petrol,First,465000
388,Mini Cooper Convertible,2015,20000,Petrol,First,3200000
389,Hyundai EON Magna,2014,37000,Petrol,First,325000
390,Maruti Wagon R,2014,17400,Petrol,First,310000
391,Maruti Ritz LDi,2011,90207,Diesel,First,391000
392,BMW 3 Series,2011,89616,Diesel,First,1100000
393,Tata Xenon XT,2014,85000,Diesel,First,350000
394,Audi A3 35,2014,79271,Diesel,First,1650000
395,Land Rover Range,2012,56000,Diesel,First,3000000
396,Mercedes-Benz GL-Class 2007,2010,85001,Diesel,Second,2800000
397,Mitsubishi Pajero Sport,2018,12000,Diesel,First,2800000
398,Maruti Alto LX,2010,125000,Petrol,First,92000
399,Maruti Wagon R,2013,53000,Petrol,First,275000
400,Land Rover Range,2017,34990,Diesel,First,5383000
401,Hyundai Verna 1.6,2011,49768,Petrol,Second,495000
402,BMW 5 Series,2013,56000,Diesel,First,3350000
403,Jaguar XF Diesel,2013,75000,Diesel,First,2795000
404,Skoda Superb Elegance,2010,57000,Petrol,First,725000
405,Audi Q3 35,2017,37542,Diesel,First,2571000
406,Land Rover Range,2014,95649,Diesel,First,2967000
407,Mercedes-Benz New C-Class,2013,35299,Diesel,First,1900000
408,Mahindra Scorpio S10,2017,28464,Diesel,First,1305000
409,BMW 3 Series,2015,41000,Diesel,First,2550000
410,Honda BR-V i-VTEC,2017,9000,Petrol,First,850000
411,Volvo S80 2006-2013,2010,92098,Diesel,Second,725000
412,Hyundai Accent GLE,2005,5834,Petrol,First,80000
413,Hyundai i20 Active,2017,40250,Petrol,First,690000
414,Hyundai EON Magna,2015,20800,Petrol,Second,225000
415,Hyundai Grand i10,2018,40322,Petrol,First,550000
416,Honda City 1.5,2013,52576,Petrol,First,434999
417,Volkswagen Polo Petrol,2010,55000,Petrol,First,225000
418,Audi A6 35,2016,47000,Petrol,First,2450000
419,Volkswagen Jetta 2007-2011,2010,42021,Diesel,First,545000
420,Hyundai Creta 1.6,2017,23163,Petrol,First,1203000
421,Mercedes-Benz New C-Class,2011,50000,Petrol,Second,850000
422,Mini Cooper Convertible,2014,11900,Petrol,First,2850000
423,Hyundai Santro Xing,2006,108000,Petrol,Second,120000
424,Toyota Etios VD,2013,37000,Diesel,First,575000
425,Honda Brio S,2014,30000,Petrol,Second,320000
426,Maruti Baleno Alpha,2018,12831,Petrol,First,989000
427,Skoda Laura Ambiente,2012,143017,Diesel,First,658000
428,Hyundai EON Era,2018,13102,Petrol,First,405999
429,Renault Captur 1.5,2019,24950,Diesel,First,1337000
430,BMW 5 Series,2011,57832,Diesel,First,2582000
431,Maruti Alto 800,2016,34267,Petrol,First,374000
432,Volvo V40 D3,2015,33000,Diesel,Second,2200000
433,Maruti Wagon R,2007,55100,Petrol,First,145000
434,Honda City ZX,2008,40000,Petrol,First,200000
435,Maruti Eeco 5,2017,31841,CNG,First,470000
436,Chevrolet Enjoy 1.4,2014,15000,Petrol,First,375000
437,Mahindra Bolero ZLX,2016,82756,Diesel,First,770000
438,Hyundai Santro GLS,2012,50243,Petrol,First,335000
439,Hyundai EON D,2014,20600,Petrol,First,260000
440,Hyundai Creta 1.6,2017,29952,Petrol,First,1377000
441,Volkswagen Vento 1.6,2017,15000,Petrol,Second,710000
442,Honda Civic 2006-2010,2008,61938,Petrol,Second,265000
443,Tata Indica Vista,2014,67000,Diesel,First,250000
444,Mahindra XUV500 W8,2013,61672,Diesel,First,753000
445,Hyundai i20 1.2,2017,26185,Petrol,First,798000
446,Audi Q5 30,2014,38000,Diesel,Second,3900000
447,Maruti Ritz VXi,2011,67000,Petrol,Second,225000
448,Mitsubishi Cedia Sports,2010,66000,Petrol,Second,385000
449,Toyota Innova 2.5,2015,80883,Diesel,First,1350000
450,Maruti Celerio LDi,2016,80219,Diesel,First,350000
451,Maruti S-Cross Delta,2018,12923,Diesel,First,892000
452,Audi Q3 35,2016,86642,Diesel,First,2037000
453,BMW 3 Series,2016,19235,Diesel,First,3650000
454,Audi Q7 4.2,2016,51002,Diesel,First,4891000
455,Hyundai i20 2015-2017,2016,6800,Petrol,First,720000
456,Renault Duster 110PS,2012,82749,Diesel,First,599000
457,Hyundai Xcent 1.1,2016,51000,Diesel,First,525000
458,Ford Ecosport 1.5,2014,31465,Diesel,First,650000
459,Volkswagen Polo Petrol,2013,76476,Petrol,First,440000
